anio,source_file,entity_name,entity_normalized_name
2023,seguros-en-cifra-2023.xlsx,(*) Cifras expresadas en miles de BS.,cifras expresadas en miles de bs
2023,seguros-en-cifra-2023.xlsx,AL 31/12/2023,al 31 12 2023
2023,seguros-en-cifra-2023.xlsx,I Empresas Operativas en Generales y Vida:,i empresas operativas en generales y vida
2023,seguros-en-cifra-2023.xlsx,"Adriática de Seguros, C.A.",adriatica de seguros c a
2023,seguros-en-cifra-2023.xlsx,"Altamira C.A., Seguros",altamira c a seguros
2023,seguros-en-cifra-2023.xlsx,"American International, C.A. de Seguros",american international c a de seguros
2023,seguros-en-cifra-2023.xlsx,"Andes C.A., Seguros",andes c a seguros
2023,seguros-en-cifra-2023.xlsx,Atrio Seguros C.A.,atrio seguros c a
2023,seguros-en-cifra-2023.xlsx,"Ávila C.A., de Seguros",avila c a de seguros
2023,seguros-en-cifra-2023.xlsx,Banesco Seguros C.A.,banesco seguros c a
2023,seguros-en-cifra-2023.xlsx,"BBVA Seguros, C.A.",bbva seguros c a
2023,seguros-en-cifra-2023.xlsx,"Bolivariana de Seguros y Reaseguros, S.A.",bolivariana de seguros y reaseguros s a
2023,seguros-en-cifra-2023.xlsx,"Capital C.A., Seguros",capital c a seguros
2023,seguros-en-cifra-2023.xlsx,"Carabobo C.A., Seguros (1)",carabobo c a seguros 1
2023,seguros-en-cifra-2023.xlsx,"Caracas C.A., Seguros",caracas c a seguros
2023,seguros-en-cifra-2023.xlsx,"Caroní, S.A., Seguros",caroni s a seguros
2023,seguros-en-cifra-2023.xlsx,"Catatumbo C.A., Seguros",catatumbo c a seguros
2023,seguros-en-cifra-2023.xlsx,"Constitución C.A., Seguros",constitucion c a seguros
2023,seguros-en-cifra-2023.xlsx,"Corporativos C.A., Seguros",corporativos c a seguros
2023,seguros-en-cifra-2023.xlsx,"Estar Seguros, S.A.",estar seguros s a
2023,seguros-en-cifra-2023.xlsx,"Fe C.A., Seguros",fe c a seguros
2023,seguros-en-cifra-2023.xlsx,Guayana C.A. Seguros (1),guayana c a seguros 1
2023,seguros-en-cifra-2023.xlsx,"Hispana de Seguros, C.A.",hispana de seguros c a
2023,seguros-en-cifra-2023.xlsx,"Horizonte, S.A. Seguros",horizonte s a seguros
2023,seguros-en-cifra-2023.xlsx,Iberoamericana de Seguros C.A.,iberoamericana de seguros c a
2023,seguros-en-cifra-2023.xlsx,"Interbank Seguros, S.A. (1)",interbank seguros s a 1
2023,seguros-en-cifra-2023.xlsx,Latitud Seguros C.A.,latitud seguros c a
2023,seguros-en-cifra-2023.xlsx,"Mapfre La Seguridad, C.A. de Seguros",mapfre la seguridad c a de seguros
2023,seguros-en-cifra-2023.xlsx,"Mercantil C.A., Seguros",mercantil c a seguros
2023,seguros-en-cifra-2023.xlsx,"Miranda C.A., Seguros",miranda c a seguros
2023,seguros-en-cifra-2023.xlsx,"Multinacional de Seguros, C.A. (1)",multinacional de seguros c a 1
2023,seguros-en-cifra-2023.xlsx,"Mundial de Seguros, C.A.",mundial de seguros c a
2023,seguros-en-cifra-2023.xlsx,"Nuevo Mundo S.A., Seguros",nuevo mundo s a seguros
2023,seguros-en-cifra-2023.xlsx,"Occidental C.A., Seguros",occidental c a seguros
