"NUMERO_ORDEN";"NOMBRE_EMPRESA"
1;"Bolivariana de Seguros y Reaseguros, S.A."
2;"Kairos de Reaseguros, C.A."
3;"Provincial de Reaseguros, C.A. (Provincial Re)"
4;"Reaseguradora Delta, C.A."
5;"Reaseguradora Internacional de Venezuela, R.I.V."
