"Nombre Empresa";"Responsabilidad Civil Automóvil";"Responsabilidad Civil Patronal";"Responsabilidad Civil General";"Responsabilidad Civil Profesional";"Fianzas"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;98.0
"Altamira C.A., Seguros";4974.0;1188.0;2239.0;0.0;7585.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";2899.0;1004.0;622.0;0.0;2855.0
"Ávila C.A. de Seguros";256.0;17.0;126.0;5.0;2260.0
"Atrio Seguros C.A.";927.0;357.0;1856.0;0.0;8701.0
"Banesco Seguros C.A.";2738.0;511.0;657.0;37.0;11.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";6.0;0.0;22.0;0.0;23.0
"Caracas C.A., Seguros";21794.0;16730.0;8324.0;0.0;157.0
"Caroní, S.A., Seguros";79.0;333.0;784.0;441.0;9103.0
"Catatumbo C.A., Seguros";3730.0;623.0;1707.0;14.0;503.0
"Constitución C.A., Seguros";3284.0;1885.0;5694.0;0.0;12796.0
"Corporativos C.A., Seguros";0.0;11.0;154.0;0.0;290.0
"Estar Seguros, S.A.";1273.0;614.0;2124.0;0.0;697.0
"Fe C.A., Seguros";12.0;0.0;0.0;0.0;3.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";4202.0;1442.0;2873.0;0.0;381.0
"Horizonte, S.A. Seguros";1360.0;80.0;266.0;0.0;4154.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";4210.0;158.0;355.0;0.0;64.0
"Latitud Seguros, C.A.";23.0;0.0;101.0;0.0;1000.0
"Mapfre La Seguridad, C.A. de Seguros";11362.0;698.0;5146.0;533.0;10.0
"Mercantil C.A., Seguros";22.0;1078.0;543.0;415.0;108.0
"Miranda C.A., Seguros";118.0;303.0;90.0;0.0;3283.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";83.0;12.0;1887.0;74.0;6186.0
"Nuevo Mundo S.A., Seguros";2231.0;51.0;349.0;0.0;86.0
"Occidental C.A., Seguros";756.0;126.0;453.0;0.0;2055.0
"Oceánica de Seguros, C.A.";1238.0;1945.0;4990.0;0.0;1101.0
"Oriental de Seguros C.A.";305.0;4.0;12.0;0.0;188.0
"Pirámide C.A., Seguros";1182.0;4251.0;4394.0;0.0;1574.0
"Previsora, C.N.A. de Seguros";6.0;0.0;0.0;0.0;39.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";3438.0;443.0;1186.0;0.0;3630.0
"Qualitas C.A., Seguros";0.0;183.0;1483.0;0.0;5224.0
"Real Seguros, S.A.";17.0;170.0;2214.0;0.0;9.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";787.0;29.0;525.0;0.0;53.0
"Universal de Seguros C.A.";143.0;34.0;230.0;0.0;1653.0
"Universitas, C.A. Seguros";8976.0;1597.0;4277.0;0.0;8988.0
"Venezolana de Seguros y Vida C.A.";1052.0;73.0;196.0;0.0;1162.0
"Venezuela C.A., Seguros";96.0;0.0;11.0;0.0;0.0
"Vértice, C.A. Seguros";1.0;65.0;50.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;3.0;41.0;0.0;70.0
"Zuma Seguros, C.A.";276.0;953.0;1441.0;0.0;14744.0
