"Nombre Empresa";"Accidentes Personales Colectivo";"Hospitalizacion Individual";"Hospitalizacion Colectivo";"Seguros Funerarios";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";2081.0;5333.0;9511.0;1057.0;18912.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";811.0;4262.0;1.0;37.0;6570.0
"Ávila C.A. de Seguros";6.0;25.0;164.0;3.0;313.0
"Atrio Seguros C.A.";293.0;3130.0;0.0;250.0;4922.0
"Banesco Seguros C.A.";6169.0;71.0;68028.0;7372.0;88082.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;5693.0;8615.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;165.0;5.0;380.0;551.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";28584.0;249992.0;94727.0;0.0;418175.0
"Caroní, S.A., Seguros";0.0;40.0;4.0;7.0;77.0
"Catatumbo C.A., Seguros";41.0;0.0;0.0;108.0;169.0
"Constitución C.A., Seguros";4624.0;169382.0;7842.0;378.0;183090.0
"Corporativos C.A., Seguros";0.0;16.0;0.0;0.0;16.0
"Estar Seguros, S.A.";3781.0;2429.0;10111.0;0.0;17147.0
"Fe C.A., Seguros";0.0;0.0;0.0;727.0;764.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";3973.0;5325.0;1464.0;98.0;10955.0
"Horizonte, S.A. Seguros";501.0;1324.0;2200.0;470.0;4906.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";3159.0;28816.0;17848.0;4320.0;61782.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";14130.0;134234.0;27260.0;5788.0;193905.0
"Mercantil C.A., Seguros";4539.0;12345.0;24111.0;3149.0;54245.0
"Miranda C.A., Seguros";6.0;40.0;23.0;208.0;278.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";126.0;240.0;64.0;5.0;461.0
"Nuevo Mundo S.A., Seguros";939.0;5794.0;0.0;394.0;7771.0
"Occidental C.A., Seguros";115.0;608.0;141.0;43.0;923.0
"Oceánica de Seguros, C.A.";6903.0;10404.0;10170.0;0.0;28501.0
"Oriental de Seguros C.A.";17.0;0.0;0.0;-3.0;24.0
"Pirámide C.A., Seguros";7682.0;11571.0;9637.0;2827.0;33501.0
"Previsora, C.N.A. de Seguros";0.0;1.0;0.0;0.0;1.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;4.0
"Proseguros, S.A.";459.0;0.0;0.0;228.0;851.0
"Qualitas C.A., Seguros";9327.0;17586.0;19043.0;761.0;47438.0
"Real Seguros, S.A.";36.0;7825.0;18367.0;162.0;28948.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";36.0;3565.0;4834.0;222.0;8728.0
"Universal de Seguros C.A.";0.0;125.0;0.0;19.0;144.0
"Universitas, C.A. Seguros";1691.0;66667.0;14830.0;4699.0;93440.0
"Venezolana de Seguros y Vida C.A.";116.0;3676.0;1152.0;78.0;5028.0
"Venezuela C.A., Seguros";1511.0;10.0;21226.0;2566.0;27121.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;909.0;909.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";217.0;385.0;0.0;17.0;630.0
"Zuma Seguros, C.A.";44.0;0.0;0.0;53.0;112.0
