"Nombre Empresa";"Fidelidad de Empleados";"Responsabilidad Civil de Productos";"Seguros de Crédito";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;77.0
"American International, C.A. de Seguros";0.0;0.0;0.0;1040.0
"Andes C.A., Seguros";0.0;0.0;0.0;127.0
"Atrio Seguros C.A.";0.0;0.0;0.0;25.0
"Ávila C.A., de Seguros";0.0;0.0;0.0;157.0
"Banesco Seguros C.A.";0.0;0.0;0.0;693.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;0.0;0.0;39551.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";38.0;0.0;0.0;541.0
"Constitución C.A., Seguros";0.0;0.0;0.0;532.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;3866.0
"Estar Seguros, S.A.";446.0;0.0;0.0;2726.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0
"Guayana C.A,, Seguros";0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";1817.0;0.0;0.0;2540.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";0.0;0.0;0.0;639.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";296.0;0.0;0.0;2584.0
"Mercantil C.A., Seguros";1880.0;0.0;0.0;3675.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;0.0;20.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;75.0
"Occidental C.A., Seguros";0.0;0.0;0.0;2.0
"Oceánica de Seguros, C.A.";0.0;0.0;0.0;2914.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;6.0
"Pirámide C.A., Seguros";389.0;0.0;0.0;6825.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;23.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;811.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0
"Real Seguros, S.A.";350.0;0.0;0.0;1324.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;157.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";0.0;0.0;0.0;2184.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;29.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;64.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;8.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0
