"Nombre Empresa";"Petroleros";"Combinados";"Lucro cesante";"Automóvil casco";"Aeronaves";"Naves"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;130.0;0.0;1307.0;0.0;0.0
"American International, C.A. de Seguros";0.0;0.0;0.0;30.0;0.0;0.0
"Andes C.A., Seguros";0.0;0.0;0.0;125.0;0.0;0.0
"Atrio Seguros C.A.";0.0;30.0;0.0;2153.0;1586.0;266.0
"Ávila C.A., de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Banesco Seguros C.A.";0.0;13717.0;0.0;33353.0;0.0;0.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;128894.0;0.0;158859.0;0.0;20.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;2150.0;0.0;183.0
"Constitución C.A., Seguros";0.0;18.0;0.0;10945.0;0.0;24.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";0.0;1232.0;0.0;17255.0;36850.0;2592.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";0.0;0.0;0.0;14288.0;0.0;0.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;305.0;176681.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";0.0;0.0;0.0;25274.0;0.0;0.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";0.0;1036.0;0.0;20939.0;0.0;0.0
"Mercantil C.A., Seguros";0.0;139020.0;0.0;163150.0;0.0;0.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;67.0;0.0;97.0;0.0;0.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;4433.0;0.0;0.0
"Occidental C.A., Seguros";0.0;0.0;0.0;76.0;0.0;0.0
"Oceánica de Seguros, C.A.";0.0;0.0;0.0;34287.0;0.0;719.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";0.0;0.0;0.0;60972.0;40574.0;783.0
"Previsora, C.N.A. de Seguros";0.0;1445.0;0.0;3944.0;1163.0;0.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;802.0;0.0;0.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Real Seguros, S.A.";0.0;0.0;0.0;172.0;0.0;0.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;479.0;0.0;662.0;0.0;0.0
"Universal de Seguros C.A.";0.0;0.0;0.0;320.0;0.0;0.0
"Universitas, C.A. Seguros";0.0;0.0;0.0;42064.0;0.0;165.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;651.0;0.0;0.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;37.0;0.0;0.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
