"Nombre Empresa";"Fidelidad de Empleados";"Responsabilidad Civil de Productos";"Seguros de Crédito";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;98.0
"Altamira C.A., Seguros";0.0;0.0;0.0;15988.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0
"Andes C.A., Seguros";0.0;0.0;0.0;7380.0
"Ávila C.A. de Seguros";1.0;0.0;0.0;2665.0
"Atrio Seguros C.A.";246.0;0.0;0.0;12086.0
"Banesco Seguros C.A.";0.0;0.0;0.0;3955.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;50.0
"Caracas C.A., Seguros";6.0;0.0;0.0;47011.0
"Caroní, S.A., Seguros";4.0;0.0;0.0;10744.0
"Catatumbo C.A., Seguros";20.0;0.0;0.0;6597.0
"Constitución C.A., Seguros";153.0;0.0;0.0;23813.0
"Corporativos C.A., Seguros";2.0;0.0;0.0;457.0
"Estar Seguros, S.A.";369.0;0.0;0.0;5078.0
"Fe C.A., Seguros";0.0;0.0;0.0;15.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";380.0;0.0;0.0;9278.0
"Horizonte, S.A. Seguros";430.0;0.0;0.0;6290.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";7.0;0.0;0.0;4795.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;1123.0
"Mapfre La Seguridad, C.A. de Seguros";658.0;738.0;0.0;19146.0
"Mercantil C.A., Seguros";0.0;0.0;0.0;2167.0
"Miranda C.A., Seguros";146.0;0.0;0.0;3939.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;12.0;8254.0
"Nuevo Mundo S.A., Seguros";6.0;0.0;0.0;2724.0
"Occidental C.A., Seguros";7.0;0.0;0.0;3396.0
"Oceánica de Seguros, C.A.";212.0;0.0;0.0;9485.0
"Oriental de Seguros C.A.";2.0;0.0;0.0;512.0
"Pirámide C.A., Seguros";408.0;0.0;0.0;11809.0
"Previsora, C.N.A. de Seguros";3.0;0.0;0.0;48.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0
"Proseguros, S.A.";22.0;0.0;0.0;8718.0
"Qualitas C.A., Seguros";31.0;0.0;0.0;6921.0
"Real Seguros, S.A.";1819.0;502.0;0.0;4730.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";9.0;0.0;0.0;1403.0
"Universal de Seguros C.A.";38.0;0.0;0.0;2097.0
"Universitas, C.A. Seguros";146.0;0.0;0.0;23985.0
"Venezolana de Seguros y Vida C.A.";21.0;0.0;0.0;2504.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;107.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;116.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;114.0
"Zuma Seguros, C.A.";5.0;0.0;0.0;17419.0
