"Nombre Empresa";"Incendio";"Terremoto";"Robo";"Transporte";"Ramos Técnicos"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";331.0;144.0;15.0;2503.0;465.0
"American International, C.A. de Seguros";1666.0;4692.0;0.0;7467.0;0.0
"Andes C.A., Seguros";468.0;321.0;341.0;0.0;275.0
"Atrio Seguros C.A.";187.0;124.0;0.0;35274.0;29.0
"Ávila C.A., de Seguros";1375.0;28.0;0.0;0.0;-31.0
"Banesco Seguros C.A.";9742.0;1841.0;0.0;8295.0;335.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";50.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;2338.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";15421.0;0.0;125.0;5556.0;1561.0
"Caroní, S.A., Seguros";129.0;0.0;0.0;7.0;1193.0
"Catatumbo C.A., Seguros";1575.0;66.0;186.0;11059.0;2320.0
"Constitución C.A., Seguros";13942.0;2389.0;1007.0;3757.0;563.0
"Corporativos C.A., Seguros";141.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";136955.0;51850.0;4322.0;20957.0;10274.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";13505.0;5050.0;2388.0;59953.0;11208.0
"Horizonte, S.A. Seguros";81.0;13.0;0.0;0.0;63649.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";35267.0;559.0;253.0;3045.0;851.0
"Latitud Seguros C.A.";0.0;0.0;0.0;91.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";7722.0;1764.0;805.0;23295.0;2109.0
"Mercantil C.A., Seguros";2627.0;2252.0;2043.0;38150.0;3155.0
"Miranda C.A., Seguros";707.0;0.0;0.0;0.0;43503.0
"Multinacional C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";353.0;0.0;0.0;25.0;6932.0
"Nuevo Mundo S.A., Seguros";1417.0;539.0;450.0;71.0;635.0
"Occidental C.A., Seguros";375.0;78.0;27.0;337.0;9.0
"Oceánica de Seguros, C.A.";40901.0;2960.0;2499.0;3853.0;85657.0
"Oriental de Seguros C.A.";21.0;14.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";14722.0;3538.0;2470.0;10689.0;9968.0
"Previsora, C.N.A. de Seguros";3.0;1.0;0.0;0.0;1782.0
"Primus Seguros C.A.";87.0;49.0;0.0;0.0;0.0
"Proseguros, S.A.";389.0;82.0;36.0;75.0;971.0
"Qualitas C.A., Seguros";380.0;186.0;0.0;0.0;15.0
"Real Seguros, S.A.";78536.0;69991.0;3619.0;40430.0;31191.0
"Regional C.A de Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";230.0;71.0;0.0;268.0;25.0
"Universal de Seguros C.A.";345.0;0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";22171.0;1170.0;921.0;7736.0;451.0
"Venezolana de Seguros y Vida C.A.";1384.0;338.0;35.0;54.0;579.0
"Venezuela C.A., Seguros";1436.0;0.0;0.0;111.0;0.0
"Vértice, C.A. Seguros";26.0;15.0;1.0;0.0;6.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";90.0;0.0;0.0;173.0;0.0
"Zuma Seguros, C.A.";148.0;68.0;0.0;542.0;20.0
