"Nombre Empresa";"Agrícola";"Pecuario";"Bancarios";"Joyería";"Diversos";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;0.0;0.0;1463.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;2023.0
"Andes C.A., Seguros";0.0;0.0;0.0;0.0;0.0;158.0
"Atrio Seguros C.A.";0.0;0.0;0.0;0.0;0.0;4036.0
"Ávila C.A., de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Banesco Seguros C.A.";0.0;0.0;0.0;0.0;847.0;49028.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;0.0;0.0;0.0;469.0;289597.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;0.0;1475.0;3972.0
"Constitución C.A., Seguros";0.0;0.0;0.0;0.0;466.0;11634.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";0.0;0.0;0.0;0.0;490.0;123776.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";0.0;0.0;0.0;0.0;11729.0;27057.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;0.0;0.0;176986.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;28352.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";0.0;0.0;0.0;0.0;10914.0;37571.0
"Mercantil C.A., Seguros";0.0;0.0;0.0;0.0;166.0;304611.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;173.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;0.0;0.0;4771.0
"Occidental C.A., Seguros";0.0;0.0;0.0;0.0;2.0;108.0
"Oceánica de Seguros, C.A.";0.0;0.0;0.0;0.0;1476.0;47645.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";0.0;0.0;0.0;0.0;0.0;104799.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;0.0;0.0;6552.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;0.0;0.0;1216.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Real Seguros, S.A.";0.0;0.0;0.0;0.0;32.0;14401.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;0.0;37.0;1177.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;7.0;327.0
"Universitas, C.A. Seguros";0.0;0.0;0.0;0.0;27.0;44577.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;0.0;0.0;696.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;0.0;40.0;40.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;0.0;0.0;37.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
