"Nombre Empresa";"Responsabilidad Civil Automóvil";"Responsabilidad Civil Patronal";"Responsabilidad Civil General";"Responsabilidad Civil Profesional";"Fianzas"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;122.0
"Altamira C.A., Seguros";8975.0;2357.0;5661.0;0.0;31675.0
"American International, C.A. de Seguros";0.0;1787.0;3972.0;2001.0;0.0
"Andes C.A., Seguros";6337.0;1066.0;1786.0;0.0;5947.0
"Atrio Seguros C.A.";8712.0;841.0;4359.0;0.0;19008.0
"Ávila C.A., de Seguros";500.0;215.0;861.0;0.0;9505.0
"Banesco Seguros C.A.";5570.0;1131.0;1758.0;116.0;37.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";68.0;0.0;16.0;0.0;0.0
"Capital C.A., Seguros";18.0;0.0;121.0;0.0;60.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";57887.0;74195.0;22159.0;0.0;743.0
"Caroní, S.A., Seguros";189.0;909.0;3496.0;1325.0;30356.0
"Catatumbo C.A., Seguros";7862.0;1318.0;9298.0;28.0;2192.0
"Constitución C.A., Seguros";6093.0;4196.0;12459.0;-14.0;24099.0
"Corporativos C.A., Seguros";2.0;30.0;557.0;0.0;1636.0
"Estar Seguros, S.A.";8679.0;3615.0;24584.0;0.0;15575.0
"Fe C.A., Seguros";28.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";9353.0;2831.0;9191.0;0.0;34072.0
"Horizonte, S.A. Seguros";5672.0;125.0;17078.0;0.0;11148.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";6200.0;859.0;44125.0;0.0;4583.0
"Latitud Seguros C.A.";68.0;0.0;0.0;0.0;1651.0
"Mapfre La Seguridad, C.A. de Seguros";27180.0;1736.0;17290.0;1275.0;12.0
"Mercantil C.A., Seguros";313.0;2982.0;54783.0;1094.0;658.0
"Miranda C.A., Seguros";282.0;1325.0;6069.0;0.0;19625.0
"Multinacional C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";568.0;0.0;19401.0;1309.0;60005.0
"Nuevo Mundo S.A., Seguros";4296.0;132.0;790.0;0.0;199.0
"Occidental C.A., Seguros";1723.0;236.0;1153.0;0.0;10197.0
"Oceánica de Seguros, C.A.";10338.0;5870.0;14784.0;0.0;44721.0
"Oriental de Seguros C.A.";930.0;6.0;58.0;0.0;490.0
"Pirámide C.A., Seguros";18152.0;11243.0;23295.0;0.0;74331.0
"Previsora, C.N.A. de Seguros";4099.0;44.0;229.0;0.0;1167.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";7337.0;1270.0;2452.0;0.0;39145.0
"Qualitas C.A., Seguros";0.0;777.0;2847.0;0.0;25415.0
"Real Seguros, S.A.";36.0;695.0;16108.0;0.0;233.0
"Regional C.A de Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";1687.0;71.0;1252.0;0.0;133.0
"Universal de Seguros C.A.";338.0;56.0;491.0;0.0;3849.0
"Universitas, C.A. Seguros";18765.0;3131.0;11629.0;0.0;19659.0
"Venezolana de Seguros y Vida C.A.";1665.0;304.0;1128.0;0.0;9392.0
"Venezuela C.A., Seguros";186.0;0.0;180.0;0.0;0.0
"Vértice, C.A. Seguros";938.0;501.0;800.0;0.0;15351.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;10.0;110.0;0.0;91.0
"Zuma Seguros, C.A.";697.0;1846.0;3391.0;0.0;32907.0
